model,angle_set,component,normalization,delta_h1,delta_h2,delta_h3,delta_det
SN,A,term_g2,omega_q,0.8175012997993921,-0.49441971801334594,0.45328290513591096,0.12610850656505523
SN,A,term_g2,Omega_q_plot,1.0467031576740118,-0.49441971801334594,0.35402526629317754,0.1261085065650553
SN,A,term_j2,omega_q,0.2865799924189487,-0.503966913109805,1.3562400556739838,0.1346886153638991
SN,A,term_j2,Omega_q_plot,0.36692808080515177,-0.503966913109805,1.0592573455279355,0.1346886153638991
SN,A,term_SN,omega_q,-0.22782072498702866,1.8462210273036577,-7.265337586298914,-1.7533376054720458
SN,A,term_SN,Omega_q_plot,-0.29169454811389506,1.8462210273036577,-5.674410052874353,-1.7533376054720455
SN,A,qm_total,omega_q,1.1040812922183407,-0.9983866311231511,1.8095229608098948,1.0010845836643116
SN,A,qm_total,Omega_q_plot,1.4136312384791634,-0.9983866311231511,1.413282611821113,1.0010845836643116
SN,A,total,omega_q,0.8762605672313122,0.8478343961805072,-5.45581462548902,-5.499538381786663
SN,A,total,Omega_q_plot,1.1219366903652686,0.8478343961805072,-4.26112744105324,-5.499538381786663
SN,B,term_g2,omega_q,0.8175012997993922,-0.49441971801334617,0.4532829051359111,0.12610850656505518
SN,B,term_g2,Omega_q_plot,1.0467031576740118,-0.49441971801334617,0.3540252662931776,0.12610850656505512
SN,B,term_j2,omega_q,0.28657999241894866,-0.5039669131098155,1.3562400556739915,0.1346886153638907
SN,B,term_j2,Omega_q_plot,0.3669280808051517,-0.5039669131098155,1.0592573455279415,0.13468861536389076
SN,B,term_SN,omega_q,-0.22782072498675587,0.850667277873296,-6.310405499698324,0.7140063382573202
SN,B,term_SN,Omega_q_plot,-0.2916945481135458,0.850667277873296,-4.92858425088584,0.7140063382573204
SN,B,qm_total,omega_q,1.1040812922183412,-0.9983866311231616,1.8095229608099026,1.0010845836643
SN,B,qm_total,Omega_q_plot,1.413631238479164,-0.9983866311231616,1.413282611821119,1.0010845836643
SN,B,total,omega_q,0.8762605672315853,-0.14771935324986565,-4.500882538888421,-3.965766893893664
SN,B,total,Omega_q_plot,1.1219366903656183,-0.14771935324986565,-3.5153016390647207,-3.9657668938936643
QG,A,term_g2,omega_q,0.8175012997993921,-0.49441971801334594,0.45328290513591096,0.12610850656505523
QG,A,term_g2,Omega_q_plot,1.0467031576740118,-0.49441971801334594,0.35402526629317754,0.1261085065650553
QG,A,term_j2,omega_q,0.2865799924189487,-0.503966913109805,1.3562400556739838,0.1346886153638991
QG,A,term_j2,Omega_q_plot,0.36692808080515177,-0.503966913109805,1.0592573455279355,0.1346886153638991
QG,A,term_SN,omega_q,0.0,0.0,0.0,0.0
QG,A,term_SN,Omega_q_plot,0.0,0.0,0.0,0.0
QG,A,qm_total,omega_q,1.1040812922183407,-0.9983866311231511,1.8095229608098948,1.0010845836643116
QG,A,qm_total,Omega_q_plot,1.4136312384791634,-0.9983866311231511,1.413282611821113,1.0010845836643116
QG,A,total,omega_q,1.1040812922183407,-0.9983866311231511,1.8095229608098948,1.0010845836643116
QG,A,total,Omega_q_plot,1.4136312384791634,-0.9983866311231511,1.413282611821113,1.0010845836643116
QG,B,term_g2,omega_q,0.8175012997993922,-0.49441971801334617,0.4532829051359111,0.12610850656505518
QG,B,term_g2,Omega_q_plot,1.0467031576740118,-0.49441971801334617,0.3540252662931776,0.12610850656505512
QG,B,term_j2,omega_q,0.28657999241894866,-0.5039669131098155,1.3562400556739915,0.1346886153638907
QG,B,term_j2,Omega_q_plot,0.3669280808051517,-0.5039669131098155,1.0592573455279415,0.13468861536389076
QG,B,term_SN,omega_q,0.0,0.0,0.0,0.0
QG,B,term_SN,Omega_q_plot,0.0,0.0,0.0,0.0
QG,B,qm_total,omega_q,1.1040812922183412,-0.9983866311231616,1.8095229608099026,1.0010845836643
QG,B,qm_total,Omega_q_plot,1.413631238479164,-0.9983866311231616,1.413282611821119,1.0010845836643
QG,B,total,omega_q,1.1040812922183412,-0.9983866311231616,1.8095229608099026,1.0010845836643
QG,B,total,Omega_q_plot,1.413631238479164,-0.9983866311231616,1.413282611821119,1.0010845836643
