model,angle_set,curve,point_index,param_angle_rad,x_over_delta_xq,p_over_delta_pq
QG,A,V_init,0,0.0,0.3636379461699283,2.7943071415659237
QG,A,V_init,1,0.008726646259971648,0.3605531379518178,2.794600383416148
QG,A,V_init,2,0.017453292519943295,0.3574408722163141,2.7946808056274395
QG,A,V_init,3,0.026179938779914945,0.35430138597450245,2.7945484020753355
QG,A,V_init,4,0.03490658503988659,0.3511349183104153,2.7942031828428804
QG,A,V_init,5,0.04363323129985824,0.3479417103628247,2.793645174219854
QG,A,V_init,6,0.05235987755982989,0.3447220053068788,2.792874418700773
QG,A,V_init,7,0.061086523819801536,0.34147604833558337,2.791890974981656
QG,A,V_init,8,0.06981317007977318,0.33820408664112883,2.7906949179555474
QG,A,V_init,9,0.07853981633974483,0.3349063693960663,2.789286338706823
QG,A,V_init,10,0.08726646259971647,0.3315831477343314,2.7876653445042447
QG,A,V_init,11,0.09599310885968812,0.3282346747321203,2.785832058792797
QG,A,V_init,12,0.10471975511965978,0.324861205388616,2.7837866211842845
QG,A,V_init,13,0.11344640137963143,0.3214629966065702,2.781529187446701
QG,A,V_init,14,0.12217304763960307,0.3180403071727381,2.7790599294923655
QG,A,V_init,15,0.1308996938995747,0.31459339773817174,2.776379035364831
QG,A,V_init,16,0.13962634015954636,0.31112253079836977,2.7734867092245654
QG,A,V_init,17,0.14835298641951802,0.30762797067328757,2.770383171333401
QG,A,V_init,18,0.15707963267948966,0.3041099834872085,2.7670686580377657
QG,A,V_init,19,0.16580627893946132,0.3005688371484773,2.7635434217506787
QG,A,V_init,20,0.17453292519943295,0.29700480132909757,2.7598077309325317
QG,A,V_init,21,0.1832595714594046,0.2934181474441958,2.7558618700706448
QG,A,V_init,22,0.19198621771937624,0.28980914863135165,2.7517061396575984
QG,A,V_init,23,0.2007128639793479,0.2861780797297974,2.7473408561683534
QG,A,V_init,24,0.20943951023931956,0.2825252172594884,2.742766352036149
QG,A,V_init,25,0.2181661564992912,0.2788508394000441,2.7379829756271854
QG,A,V_init,26,0.22689280275926285,0.27515522596956465,2.732991091214096
QG,A,V_init,27,0.23561944901923448,0.27143865840332077,2.7277910789482043
QG,A,V_init,28,0.24434609527920614,0.267701419732322,2.722383334830579
QG,A,V_init,29,0.2530727415391778,0.2639437945617624,2.7167682706818703
QG,A,V_init,30,0.2617993877991494,0.260166069049347,2.710946314110953
QG,A,V_init,31,0.27052603405912107,0.25636853088349965,2.7049179084823614
QG,A,V_init,32,0.2792526803190927,0.2525514692614544,2.698683512882523
QG,A,V_init,33,0.2879793265790644,0.24871517486723194,2.6922436020848
QG,A,V_init,34,0.29670597283903605,0.24485993984950352,2.6855986665133336
QG,A,V_init,35,0.30543261909900765,0.24098605779934185,2.678749212205695
