temp_index,T_K,t_eval_s,omega_q_t_eval,free_fidelity,free_distinguishability,sn_init_h1,sn_init_h2,sn_init_h3,qg_init_h1,qg_init_h2,qg_init_h3
0,1e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
1,1.0086829812525637e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
2,1.0174413566685578e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
3,1.0262757808940939e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
4,1.0351869142595554e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
5,1.0441754228289704e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
6,1.0532419784497822e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
7,1.0623872588030726e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
8,1.0716119474542222e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
9,1.0809167339039883e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
10,1.0903023136400592e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
11,1.0997693881890204e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
12,1.1093186651688092e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
13,1.118950858341589e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
14,1.1286666876671067e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
15,1.1384668793565135e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
16,1.1483521659266285e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
17,1.1583232862547103e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
